"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"M2","2011-05-19 00:31:01.000","145.44663","-16.014864","FALSE"
"M2","2011-05-26 00:01:01.000","145.442818","-16.014795","FALSE"
"M2","2011-05-26 19:01:01.000","145.442595","-16.015013","FALSE"
"M2","2011-05-27 00:01:01.000","145.442748","-16.01619","FALSE"
"M2","2011-05-27 00:31:01.000","145.442062","-16.016129","FALSE"
"M2","2011-05-27 04:01:01.000","145.441859","-16.015924","FALSE"
"M2","2011-05-28 04:01:01.000","145.442349","-16.014887","FALSE"
"M2","2011-05-28 20:30:44.000","145.442389","-16.015041","FALSE"
"M2","2011-05-29 21:31:01.000","145.442449","-16.015957","FALSE"
"M2","2011-05-30 00:01:01.000","145.443125","-16.016528","FALSE"
"M2","2011-05-31 03:01:02.000","145.439156","-16.017704","FALSE"
"M2","2011-05-31 21:01:03.000","145.438482","-16.017537","FALSE"
"M2","2011-05-31 22:01:01.000","145.438215","-16.018899","FALSE"
"M2","2011-05-31 23:30:22.000","145.437576","-16.018858","FALSE"
"M2","2011-06-01 00:00:28.000","145.437602","-16.018972","FALSE"
"M2","2011-06-01 02:01:01.000","145.437388","-16.018991","FALSE"
"M2","2011-06-01 02:31:02.000","145.437594","-16.018929","FALSE"
"M2","2011-06-01 03:00:47.000","145.437391","-16.018901","FALSE"
"M2","2011-06-01 09:01:02.000","145.437218","-16.018543","FALSE"
"M2","2011-06-01 10:30:59.000","145.437631","-16.018672","FALSE"
"M2","2011-06-01 17:01:02.000","145.437757","-16.018767","FALSE"
"M2","2011-06-01 18:31:02.000","145.437576","-16.018916","FALSE"
"M2","2011-06-01 20:00:54.000","145.437523","-16.018808","FALSE"
"M2","2011-06-01 20:30:45.000","145.437535","-16.018822","FALSE"
"M2","2011-06-01 22:30:47.000","145.437123","-16.018122","FALSE"
"M2","2011-06-01 23:30:31.000","145.437162","-16.018968","FALSE"
"M2","2011-06-02 04:00:42.000","145.437481","-16.018959","FALSE"
"M2","2011-06-02 05:00:56.000","145.437636","-16.018831","FALSE"
"M2","2011-06-02 05:31:02.000","145.437545","-16.018869","FALSE"
"M2","2011-06-02 07:00:59.000","145.437719","-16.018873","FALSE"
"M2","2011-06-02 07:31:01.000","145.43771","-16.018905","FALSE"
"M2","2011-06-02 08:01:01.000","145.437743","-16.018848","FALSE"
"M2","2011-06-02 10:30:17.000","145.43801","-16.0188","FALSE"
"M2","2011-06-02 18:00:45.000","145.437525","-16.018778","FALSE"
"M2","2011-06-02 21:00:37.000","145.438621","-16.019329","FALSE"
"M2","2011-06-02 21:30:50.000","145.439177","-16.019739","FALSE"
"M2","2011-06-02 23:00:46.000","145.439992","-16.02011","FALSE"
"M2","2011-06-03 00:00:41.000","145.44056","-16.020081","FALSE"
"M2","2011-06-03 02:30:44.000","145.440667","-16.020216","FALSE"
"M2","2011-06-03 03:30:36.000","145.440634","-16.020195","FALSE"
"M2","2011-06-03 04:30:51.000","145.440763","-16.020376","FALSE"
"M2","2011-06-03 21:31:01.000","145.440788","-16.020795","FALSE"
"M2","2011-06-03 22:00:50.000","145.441211","-16.021126","FALSE"
"M2","2011-06-03 23:00:15.000","145.443002","-16.021392","FALSE"
"M2","2011-06-03 23:30:13.000","145.443991","-16.020936","FALSE"
"M2","2011-06-04 00:00:36.000","145.444467","-16.020596","FALSE"
"M2","2011-06-04 05:30:49.000","145.445194","-16.021012","FALSE"
"M2","2011-06-04 07:01:01.000","145.445185","-16.02092","FALSE"
"M2","2011-06-04 18:00:42.000","145.445093","-16.020963","FALSE"
"M2","2011-06-04 18:31:01.000","145.445078","-16.020985","FALSE"
"M2","2011-06-04 19:01:01.000","145.445","-16.020799","FALSE"
"M2","2011-06-04 20:30:32.000","145.445097","-16.020993","FALSE"
"M2","2011-06-04 21:00:29.000","145.444423","-16.020889","FALSE"
"M2","2011-06-04 22:31:00.000","145.444704","-16.020409","FALSE"
"M2","2011-06-05 00:01:01.000","145.44443","-16.020082","FALSE"
